,gallery,title,content,date,keyword,searchMode,disaster
0,지진,2024년 12월 6일 미국지진 분석,"CA 깊이0.6km Ⅷ 쓰나미경보 ChatGPT의 말: 2024년 12월 5일 캘리포니아주 페트롤리아 인근 지진 및 쓰나미 경보 지진 개요 일시: 2024년 12월 5일 18:44:19 (UTC) 규모: M 7.0 위치: 페트롤리아, 캘리포니아...",2024-12-06 04:48:00,지진,accuracy,
1,지진,2024년 11월 5일~2024년 12월 5일 30일간 미국지진 분석,"↓2024-11-05~2024-12-05 미국지진 M3.7이상 ★ 오타로 인해 자료에 오류가 있을 가능성이 있습니다 2024-11-14 02:40:35 (UTC) M 4.3 - 29 km SE of Mina, Nevada Ⅳ 깊이:14.2km 2024-11-14 18:03:33 (UTC) M...",2024-12-05 16:21:00,지진,accuracy,
2,러시아-우크라이나,"쿠바, 허리케인 끝나자 이번엔 규모 6.8 지진…""이런 지진은 처음""","지진 후 15회 이상 여진도 발생…쓰나미 위험은 없어 사망자 아직 보고되지 않았지만 건물 지붕·기둥 등 무너져 쿠바 동부에서 최대 규모 6.8의 지진이 발생해 피해가 속출하고 있다. 로이터통신에 따르면, 미국...",2024-11-11 08:37:00,지진,accuracy,
3,일본 지진,11월17일~12월 5일 일본지진 Chatgpt분석,★ 오타로 인해 자료에 오류가 있을 가능성 있습니다. 2024-11-17 21:16 일본지진 최대진도3 M6.0 아마미 오시마 동북 해역 깊이10km 日가고시마 남동쪽 해역서 규모 6.0 지진...,2024-12-05 15:46:00,지진,accuracy,
5,지진,님들아 제주도 지진 몆주간 계속 났는데 큰 지진 나나요?,옛날에 자잘한 지진 계속 나면 나중에 큰 지진 난다고 들었는데 지금 제주도 9월부터 지금 까지 5번정도 규모 2 ? 그정도 왔는데 큰 지진 날까요,2024-11-14 00:14:00,지진,accuracy,
6,일본 지진,"일본지진→북미,중미,남미→일본지진(세계지진패턴분석)","과거의 글2024.09.06. 구독자 66.5만명 더치신스라는 지진 유투버가 있는데, 그는 ""대척점""이야기를 하며, 어디선가 강진이 나면 지구 반대편 대척점에서 큰 지진이 난다고 해서 실제로 지진예측을 성공해서...",2024-12-05 17:27:00,지진,accuracy,
8,지진,"긴급분석 지진, 현재상황과 각국의 샘법. 군사+지진+경제 결합의 위험성.",일주일간 지진을 정리하면서 느낀점입니다. 아래기사를 보십시오. 동북아시아의 지진이 심상치 않습니다. 각 국가가 제시안 내용과 시사들은 지금의 상황이 엄중함을 보입니다. (이 글을 쓰는 동기중 하나가...,2024-08-21 16:34:00,지진,accuracy,
9,러시아-우크라이나,미 캘리포니아 북부해안 규모 7.0 지진후 여진 계속…‘비상사태’ 선포,미국 캘리포니아주 북부 해안에서 현지 시각으로 5일 오전 7.0 규모의 지진이 발생한 뒤 여진이 계속되자 주 당국이 비상사태를 선언했습니다. 개빈 뉴섬 캘리포니아 주지사는 “캘리포니아 북부 지역의 피해가...,2024-12-06 12:52:00,지진,accuracy,
11,지진,한반도 지진은 이웃나라의 지진과 관련있다는 가설,"가설2. 한반도의 지진은 이웃나라의 지진과 관련이 있다는 가설입니다. 실재로 2012년 6월 18일 앙숙인 중국과 일본에 같은 날 동반지진이 발생했는데, 다음날 제주도에 3.1의 지진이 났습니다. 한 가지 사례로...",2024-12-05 16:36:00,지진,accuracy,
12,지진,[일본] 미야기현 앞바다 지진,지진 발생 당시 유튜브 실시간 방송 화면 https://www.youtube.com/live/tRxZKDAp5aQ?si=9GB_vPvXLvCL3ahk [LIVE] 한&일 지진정보 &#x1f44b;안녕하세요! 지진정보 전달방송에 오신 것을 환영합니다.이곳에서는...,2024-11-26 13:34:00,지진,accuracy,
13,지진,[일본] 이시카와현 서쪽 바다에서 지진,지진 발생 당시 실시간 방송 화면 https://www.jma.go.jp/bosai/map.html#7/35.646/137.452/&elem=int&contents=earthquake_map 気象庁｜統合地図ページ 気象庁｜統合地図ページ www.jma.go.jp 11월 26일 오후...,2024-11-26 22:49:00,지진,accuracy,
14,군사,"""이란지진은 S파 나왔으니 자연지진이다""는 념글은 헛소리임","https://gall.dcinside.com/war/4090671 념글은 P파와 S파가 둘다 나왔으니 자연지진이라고 주장한다. 근데 P/S time이 저렇게 짧은데, 말이 될까? 아니나 다를까 댓글에서도 바로 지적중이다. 중고등학교 시간...",2024-10-08 16:08:00,지진,accuracy,
15,일본 지진,"긴급분석 한반도 지진(eng,jp,中國語ver.)",한반도에 최근 지진이 많습니다. 10일새 2.0이상 지진이 8회입니다. 그중에는 19일 북한 자강도 용림에서 일어난 규모M3.9의 지진도 있습니다. 두가지 가설이 있습니다. 가설1. 한반도 전체적으로 지진이 분포...,2024-09-20 17:46:00,지진,accuracy,
16,생존,방금 ‘백두산 지진 감지되어~’ 뉴스 가상대본,"곳이어서 더욱 유의해야할듯) ‘방금 들어온 속보입니다. 백두산 근처 지역에서 지진이 발생한 것으로 나타나, 서울 전역에서 지진이 감지되고 있습니다. 가스를 잠근 상태로 공터로 대피해주시기 바랍니다‘ 이...",2024-12-01 17:54:00,지진,accuracy,
17,지진,9월 20일~25일 지진정리 메모한 것,"2024-09-20 21:22 일본지진 최대진도4 M4.7 풍후수도 깊이40km 2024-09-21 19:51 대만 동부 규모 5.3 지진…""즉각적 피해 보고는 없어"" https://n.news.naver.com/mnews/article/421/0007799453?sid=104 2024-09...",2024-09-25 19:06:00,지진,accuracy,
18,일본 지진,[ChatGPT]한달 내 일본지진 분석,"Q. 일본 기상청 한달 내 자료로 최근 일본 지진 다시 분석해줘 ​ 최근 일본에서 발생한 지진을 일본 기상청 자료를 바탕으로 분석하면, 주요 특징은 다음과 같습니다. ​ 1. 지진 규모 ​ 지난 한 달 동안, 일본에서는...",2024-09-27 15:55:00,지진,accuracy,
20,기타 국내 드라마,일본 기상청 미야자키 지진에 “거대 난카이 지진 주의” 첫 당부,요시마사 관방장관은 직접 회견을 열고 기상청이 발표한 난카이 대지진 주의에 대해 설명했습니다. 거대 지진 주의보가 내려진 것은 처음으로 대피하라는 의미가 아닌 평소보다 거대 지진 발생 가능성이 높으니...,2024-08-08 20:13:00,지진,accuracy,
21,3차 세계대전,지진 발생,한국시간 12월 9일(월) 04:57 알류샨 열도를 진원으로 규모 6.3 강진이 연속으로 발생했습니다. 이 지진의 메커니즘은 남북으로 압력축을 가지는 역단층형으로 분석되었습니다. 이 지역에서 자주 발생하는 타입의...,2024-12-09 14:46:00,지진,accuracy,
24,지진,일본지진 30일치 분석 (9월7일~10월7일),"지방 M3.4, 2024/10/07 미야기 현 바다 M4.3이다. 내 자료를 토대로 최근 지진을 분석해줘. 간략한 지진 역사를 바탕으로 지진을 분석해줘. ChatGPT의 말: api.adzedek.com과(와) 대화 완료 최근 일본에서 발생한...",2024-10-07 10:02:00,지진,accuracy,
26,군사,"중국, 초대형 지진 우려 커져…지진경보망 구축·재난 대비","https://n.news.naver.com/mnews/article/422/0000677104 중국, 초대형 지진 우려 커져…지진경보망 구축·재난 대비 최근 일본과 대만 등 환태평양 조산대 일대에서 큰 지진이 발생하면서 긴장감이 높아지고...",2024-08-18 22:10:00,지진,accuracy,
27,지진,미 캘리포니아 북부 해안 7.0 지진…쓰나미 발령 후 해제,https://v.daum.net/v/20241206055400417 미 캘리포니아 북부 해안 7.0 지진…쓰나미 발령 후 해제 &#x1f53c; 지진 발생 지점 5일(현지시간) 오전 10시 44분 미국 캘리포니아주 북부 해안에서 7.0 규모의 지진이...,2024-12-06 06:33:00,지진,accuracy,
28,군사,그 핵실험때 곧바로 인공지진이라 했음,한국지질자원연구원 [앵커멘트]북한에서 온 지진파를 가장 빨리 관측한 곳이 바로 한국지질자원연구원 지진연구센터입니다.지질자원연구원에 나가 있는 취재 기자 연결해 그곳 상황 어떤 지 알아봅니다. 이문석...,2024-10-07 11:42:00,지진,accuracy,
29,더불어민주당,난 살면서 지진의 공포가 젤 무섭더라,살면서 지진은 한 번도 경험을 못 해보다가 경주. 포항 지진 때 진짜 쇼크 엄청 먹음 특히 휴대폰 경고음 소리 이게 지진 보다 더 무서움 아직도 이 경고음 들으면 PTSD 엄청 옴,2024-11-28 01:11:00,지진,accuracy,
30,WOW 리테일,바금 1넴 지진강타 스펙,"1시즌에서 가장 강력한 탱버스터 스킬로, 탱은 즉시 가장 큰 생존기를 켜지 않으면 지진 강타 한 방에 파편화되므로 첫 지진 강타엔 반드시 생존기를 사용할 것. 또한 대상에게 지진의 반향이 남게 되는데 이를...",2024-12-04 10:03:00,지진,accuracy,
